Config ID,Dataset,Window,K,Hidden,Layers,Ridge,Scaling,RMSE,MAE,MAPE,Time
0,DJI.xlsx,48,1,20,1,0.01,0.7,546.8942006058342,361.11352895911756,0.01437724902509658,0.021905899047851562
0,HSI.xlsx,48,1,20,1,0.01,0.7,362.85572024733574,268.4282096881656,0.01082571192525069,0.017179489135742188
0,KOSPI.xlsx,48,1,20,1,0.01,0.7,36.59886643408598,27.44322834484516,0.012800119308247601,0.015105724334716797
0,LSE.xlsx,48,1,20,1,0.01,0.7,116.37607914638141,80.42207871898962,0.013289860054409595,0.014251708984375
0,NASDAQ.xlsx,48,1,20,1,0.01,0.7,196.30527324710454,142.85999058079307,0.01486059683435385,0.014216899871826172
0,NIFTY50.xlsx,48,1,20,1,0.01,0.7,202.72064360621923,138.35103372877083,0.013350232060002186,0.01554727554321289
0,NYSE.xlsx,48,1,20,1,0.01,0.7,246.78625959423272,164.44073429019866,0.013952093857098172,0.011787891387939453
0,RUSSELL2000.xlsx,48,1,20,1,0.01,0.7,36.04039383802803,25.995857448587156,0.018407979389931106,0.013618946075439453
0,SENSEX.xlsx,48,1,20,1,0.01,0.7,706.2970873212753,478.4473407476347,0.013599032633497876,0.015189647674560547
0,SP500.xlsx,48,1,20,1,0.01,0.7,60.08030408051872,40.94905280966149,0.013615366111608634,0.012843847274780273
0,SSE.xlsx,48,1,20,1,0.01,0.7,42.126647857221734,29.523098665796795,0.009460609065135564,0.012910842895507812
1,DJI.xlsx,96,1,20,1,0.01,0.7,554.7697314992267,366.26071030592755,0.014583814485334853,0.033937931060791016
1,HSI.xlsx,96,1,20,1,0.01,0.7,381.1225026426244,283.27309113910127,0.011369878850733749,0.02369999885559082
1,KOSPI.xlsx,96,1,20,1,0.01,0.7,37.545241731145246,28.276081835160397,0.012939395460508435,0.024319171905517578
1,LSE.xlsx,96,1,20,1,0.01,0.7,114.74108601593805,78.33530417780854,0.01305181844385046,0.02504754066467285
1,NASDAQ.xlsx,96,1,20,1,0.01,0.7,199.8278221231172,145.58942447040263,0.014960686702299702,0.023837804794311523
1,NIFTY50.xlsx,96,1,20,1,0.01,0.7,213.63548922382316,148.45764204444612,0.014136171737491569,0.024650096893310547
1,NYSE.xlsx,96,1,20,1,0.01,0.7,251.31795918237606,167.25614394853633,0.014170844780815912,0.024088382720947266
1,RUSSELL2000.xlsx,96,1,20,1,0.01,0.7,37.007127142168734,26.76120464335935,0.01882622017439501,0.022835969924926758
1,SENSEX.xlsx,96,1,20,1,0.01,0.7,744.9199942409784,514.0382181340833,0.014396250278770902,0.018224239349365234
1,SP500.xlsx,96,1,20,1,0.01,0.7,61.03346726482063,41.48861726247353,0.013730430306847684,0.021139144897460938
1,SSE.xlsx,96,1,20,1,0.01,0.7,40.4945867805714,29.883245684026107,0.009443061910770547,0.023351430892944336
2,DJI.xlsx,124,1,20,1,0.01,0.7,557.2558534430419,371.6894919138783,0.014764555322418401,0.06392908096313477
2,HSI.xlsx,124,1,20,1,0.01,0.7,380.7691069429224,280.7427707795914,0.011258779886913895,0.03766989707946777
2,KOSPI.xlsx,124,1,20,1,0.01,0.7,38.57654034652414,29.05521673471939,0.013071817483421637,0.029906034469604492
2,LSE.xlsx,124,1,20,1,0.01,0.7,116.64254260483828,80.74594141411522,0.013490287811888877,0.028197526931762695
2,NASDAQ.xlsx,124,1,20,1,0.01,0.7,202.60212943669364,149.24082043075242,0.015151804863643785,0.03193950653076172
2,NIFTY50.xlsx,124,1,20,1,0.01,0.7,213.83327504377755,147.99617904906933,0.014089568183743772,0.023191213607788086
2,NYSE.xlsx,124,1,20,1,0.01,0.7,253.21026911601913,170.96956299736073,0.01444428046376363,0.03124094009399414
2,RUSSELL2000.xlsx,124,1,20,1,0.01,0.7,37.381609730493174,27.432959011069805,0.019100755935083535,0.03210282325744629
2,SENSEX.xlsx,124,1,20,1,0.01,0.7,745.7016726730725,509.35711397282205,0.014249659468609188,0.02994704246520996
2,SP500.xlsx,124,1,20,1,0.01,0.7,61.375069518827836,42.15702177232939,0.01388500186237909,0.03223061561584473
2,SSE.xlsx,124,1,20,1,0.01,0.7,40.72364132769265,30.35091296819542,0.009529764194662975,0.029795169830322266
