Config ID,Dataset,Window,K,Hidden,Layers,Ridge,Scaling,RMSE,MAE,MAPE,Time
0,DJI.xlsx,48,1,20,1,0.01,0.1,691.0990681265447,453.2289998697674,0.018067967417991642,0.016271352767944336
0,HSI.xlsx,48,1,20,1,0.01,0.1,398.21629216912913,304.2437451391921,0.012228982994498584,0.014304637908935547
0,KOSPI.xlsx,48,1,20,1,0.01,0.1,43.71232867958887,32.901268997389316,0.015183521843992841,0.015008211135864258
0,LSE.xlsx,48,1,20,1,0.01,0.1,125.50149045757584,84.64248248599401,0.013989452366404784,0.015024185180664062
0,NASDAQ.xlsx,48,1,20,1,0.01,0.1,255.6999128742212,196.73133840591208,0.02034881721860845,0.010556936264038086
0,NIFTY50.xlsx,48,1,20,1,0.01,0.1,272.23313642052176,195.1752194013202,0.018561309592560582,0.014716863632202148
0,NYSE.xlsx,48,1,20,1,0.01,0.1,286.30610478268204,189.0083622268868,0.015968609430440244,0.012514829635620117
0,RUSSELL2000.xlsx,48,1,20,1,0.01,0.1,42.76551872464044,30.398109261731896,0.021217540536291244,0.013017892837524414
0,SENSEX.xlsx,48,1,20,1,0.01,0.1,946.7711132710411,673.964602631238,0.018849605336504514,0.011046648025512695
0,SP500.xlsx,48,1,20,1,0.01,0.1,77.36183675257783,53.34959736482651,0.017664482164202192,0.0129852294921875
0,SSE.xlsx,48,1,20,1,0.01,0.1,50.944154421928104,35.5905611915253,0.011363587452625279,0.012917518615722656
1,DJI.xlsx,48,1,20,1,0.01,0.3,553.2042930426572,361.4234336178303,0.01438187859009703,0.011466503143310547
1,HSI.xlsx,48,1,20,1,0.01,0.3,361.10269706283384,266.7204418545495,0.010753752213993583,0.010235786437988281
1,KOSPI.xlsx,48,1,20,1,0.01,0.3,37.12881537053777,27.749930289583887,0.012912663546049452,0.009394407272338867
1,LSE.xlsx,48,1,20,1,0.01,0.3,116.06427093286977,79.06583354088097,0.013054696757787521,0.012685060501098633
1,NASDAQ.xlsx,48,1,20,1,0.01,0.3,201.7606629271454,148.96065610771026,0.015424382299678989,0.011752605438232422
1,NIFTY50.xlsx,48,1,20,1,0.01,0.3,206.85068443911626,146.11428973147505,0.014039323197902432,0.013409614562988281
1,NYSE.xlsx,48,1,20,1,0.01,0.3,246.07087885342503,163.23412453998716,0.013829927157884172,0.01218867301940918
1,RUSSELL2000.xlsx,48,1,20,1,0.01,0.3,36.310457124801225,25.84638401436356,0.01824437327954838,0.01257181167602539
1,SENSEX.xlsx,48,1,20,1,0.01,0.3,717.931002965553,504.32219275303686,0.014262746568347189,0.012750625610351562
1,SP500.xlsx,48,1,20,1,0.01,0.3,61.12199706060872,41.51154185063406,0.013771997836623544,0.011729001998901367
