Config ID,Dataset,Window,K,Hidden,Layers,Ridge,Scaling,RMSE,MAE,MAPE
107,DJI.xlsx,48,1,50,3,0.01,0.5,355.93185208073396,270.9051484191139,0.00817388699436273
107,HSI.xlsx,48,1,50,3,0.01,0.5,380.7117663130713,288.82243545945687,0.012704328501634363
107,KOSPI.xlsx,48,1,50,3,0.01,0.5,30.477497182110813,23.935869183641046,0.008642670454761648
107,LSE.xlsx,48,1,50,3,0.01,0.5,67.27282510317207,49.203978548134366,0.0068601245044325205
107,NASDAQ.xlsx,48,1,50,3,0.01,0.5,218.31757314345973,167.27154246610843,0.013015466942498853
107,NIFTY50.xlsx,48,1,50,3,0.01,0.5,174.64863951049975,132.302197864242,0.008007601059552626
107,NYSE.xlsx,48,1,50,3,0.01,0.5,174.79420534935053,134.8338207896287,0.00860998904894014
107,RUSSELL2000.xlsx,48,1,50,3,0.01,0.5,33.12811301520671,26.801540354506116,0.013202135861497532
107,SENSEX.xlsx,48,1,50,3,0.01,0.5,593.4056872451218,448.62250849541147,0.008100093014788262
107,SP500.xlsx,48,1,50,3,0.01,0.5,52.48139412781949,39.62333625170021,0.009598055955931521
107,SSE.xlsx,48,1,50,3,0.01,0.5,34.86485142471557,26.410986984523166,0.007887388674413267
267,DJI.xlsx,48,1,200,3,0.01,0.5,356.0473411819621,270.64876234903426,0.008167123930331989
267,HSI.xlsx,48,1,200,3,0.01,0.5,380.71054819890264,288.78279322417745,0.012701930699939341
267,KOSPI.xlsx,48,1,200,3,0.01,0.5,30.45796533876352,23.925080700571655,0.008638465971853363
267,LSE.xlsx,48,1,200,3,0.01,0.5,67.2662315118977,49.19863405668239,0.006859373103309465
267,NASDAQ.xlsx,48,1,200,3,0.01,0.5,218.07268613527376,167.19590837395066,0.013008896663923531
267,NIFTY50.xlsx,48,1,200,3,0.01,0.5,174.6736146470575,132.3384375909428,0.008009623297870798
267,NYSE.xlsx,48,1,200,3,0.01,0.5,174.81298288523007,134.8804515033884,0.008612415164337828
