Config ID,Window,K,Hidden Size,Num Layers,Ridge Alpha,Input Scaling,RMSE,MAE,MAPE,Training Time
0,48,1,20,1,0.001,0.1,233.89945627530827,162.54884513708473,0.013604799652526445,0.013508471575650237
1,48,1,20,1,0.001,0.3,233.03546332843743,160.3181793100678,0.013548609696705082,0.012017921967939837
2,48,1,20,1,0.001,0.5,234.19807792657582,160.9448536948124,0.013592094447293418,0.012177012183449437
3,48,1,20,1,0.001,0.7,234.6553750649941,161.20089894345244,0.013605785636417046,0.0116876905614679
4,48,1,20,1,0.001,1.0,234.90921235078292,161.41568855064153,0.01361544948123778,0.012390440160577899
5,48,1,20,1,0.01,0.1,290.20559132837525,204.58998733388563,0.01667677199088481,0.01189171184192999
6,48,1,20,1,0.01,0.3,234.65191642768957,163.23118333652013,0.013643161509560147,0.012427199970592108
7,48,1,20,1,0.01,0.5,231.5411219840136,159.99957679341114,0.013487900893903428,0.011882131749933356
8,48,1,20,1,0.01,0.7,232.1313342418538,159.96550879344994,0.013510955291420629,0.012210694226351619
9,48,1,20,1,0.01,1.0,233.2324225443692,160.47037587762435,0.013552845355760209,0.012264923615889056
10,48,1,20,1,0.1,0.1,481.5364771609024,332.48266412557507,0.026745111070138203,0.011479247700084273
11,48,1,20,1,0.1,0.3,295.49526107352364,208.25458693741373,0.016969585084917735,0.011831587011163837
12,48,1,20,1,0.1,0.5,255.64151890556684,179.64320656238598,0.014775460079175845,0.011925155466253083
13,48,1,20,1,0.1,0.7,241.3161624179962,168.56627819847182,0.013989413845677135,0.012902693314985754
14,48,1,20,1,0.1,1.0,233.9985565643711,162.72621572331207,0.01361155687207698,0.0120785236358642
15,48,1,20,1,1.0,0.1,804.7071305093385,582.8225692800329,0.04721810561008045,0.012322274121371128
16,48,1,20,1,1.0,0.3,493.9428765497996,341.0516532829263,0.0274588019460683,0.014810041947798246
17,48,1,20,1,1.0,0.5,385.2381372698332,268.0834485748538,0.021666678131166427,0.012409253553910647
18,48,1,20,1,1.0,0.7,332.086950107357,233.29311771336108,0.018915145330577407,0.012392650951038644
19,48,1,20,1,1.0,1.0,290.3003481740162,204.6649057728023,0.016697195872825085,0.011817346919666571
20,48,1,20,3,0.001,0.1,233.90605898349028,162.5383579054437,0.013603270587838962,0.038710615851662356
21,48,1,20,3,0.001,0.3,233.0225301496873,160.27378245040902,0.013547716948652172,0.03940861875360657
22,48,1,20,3,0.001,0.5,234.19456216618954,161.0020219715604,0.013596633833539035,0.03967194123701612
23,48,1,20,3,0.001,0.7,234.64568894922286,161.24538487487587,0.013607660820280282,0.038635557348077894
24,48,1,20,3,0.001,1.0,234.90900798765605,161.48028030068645,0.01361920593740391,0.04002633961764244
25,48,1,20,3,0.01,0.1,290.0728922597377,204.50856991212265,0.016671540674784137,0.03968531435186208
26,48,1,20,3,0.01,0.3,234.57742305712426,163.116373477201,0.013637469857605472,0.039635419845581006
27,48,1,20,3,0.01,0.5,231.5526809614843,160.00514983854544,0.013487193878314218,0.03957767920060587
28,48,1,20,3,0.01,0.7,232.10310947463765,159.874239410557,0.013506891804700764,0.039231170307506155
29,48,1,20,3,0.01,1.0,233.16907269085797,160.3376987472088,0.013545444544310592,0.038853103464299925
30,48,1,20,3,0.1,0.1,481.2917054386128,332.29059604410526,0.026745989311349274,0.04008321328596632
31,48,1,20,3,0.1,0.3,295.49349542962494,208.2294177436457,0.0169600217265871,0.03993108055808322
32,48,1,20,3,0.1,0.5,255.62393301545805,179.57653287149807,0.014773969249840573,0.03929987820711999
33,48,1,20,3,0.1,0.7,241.3721593015381,168.62749726358183,0.013992087758893325,0.03877514058893372
34,48,1,20,3,0.1,1.0,233.97856868675336,162.75033173291314,0.013609841444414565,0.04043568264354355
35,48,1,20,3,1.0,0.1,804.7670259523591,582.881866342269,0.0472072955928297,0.03981362689625128
36,48,1,20,3,1.0,0.3,494.2162072859906,341.23264065785975,0.027447573347487073,0.04835599119013002
37,48,1,20,3,1.0,0.5,385.42804140144017,268.2171911952362,0.02167071472242312,0.04142013463107017
38,48,1,20,3,1.0,0.7,331.9710692641448,233.14747355461606,0.01890775823141167,0.04649266329678618
39,48,1,20,3,1.0,1.0,290.3481120201299,204.7845904692182,0.016699211606257064,0.04017019271850582
40,48,1,20,5,0.001,0.1,233.90173384681404,162.53666231365136,0.013603040514620735,0.06857529553500084
41,48,1,20,5,0.001,0.3,233.01999366431698,160.25501111058642,0.013546730336628237,0.06974332982843569
42,48,1,20,5,0.001,0.5,234.19489865153994,161.00928158393916,0.013596861937090136,0.06860078464854842
43,48,1,20,5,0.001,0.7,234.6671194183423,161.3031758981645,0.013610919653294574,0.06778222864324392
44,48,1,20,5,0.001,1.0,234.8940772429673,161.4415352069326,0.013615796712761764,0.068143064325506
45,48,1,20,5,0.01,0.1,290.11882233605144,204.53917812410384,0.01667586572113921,0.0723230188543146
46,48,1,20,5,0.01,0.3,234.60788611344304,163.18110177013526,0.013638053979222835,0.07237156954678617
47,48,1,20,5,0.01,0.5,231.5003387260802,159.87779220751963,0.013481061853395681,0.0759957053444602
48,48,1,20,5,0.01,0.7,232.1246409012633,159.90939560095723,0.01350829376502369,0.06695333394137293
49,48,1,20,5,0.01,1.0,233.16684624596272,160.38911210654834,0.013548140699429846,0.06911431659351693
50,48,1,20,5,0.1,0.1,481.30409771842136,332.3227991192376,0.02675093199679839,0.06788615746931592
51,48,1,20,5,0.1,0.3,295.5163203876612,208.25999657756213,0.016964418256111728,0.06748372858220877
52,48,1,20,5,0.1,0.5,255.56371130270193,179.58940466370234,0.014775909414000293,0.06737386096607549
53,48,1,20,5,0.1,0.7,241.4223369979746,168.735821365076,0.013992520089126818,0.0682577003132213
54,48,1,20,5,0.1,1.0,233.9392603318305,162.63912826491625,0.013606821806299609,0.06840632178566669
55,48,1,20,5,1.0,0.1,804.7556854188462,582.8573076174239,0.04720826844604227,0.07565929672934786
56,48,1,20,5,1.0,0.3,494.2600670349156,341.2641380026211,0.027453883809426052,0.07692454077980732
57,48,1,20,5,1.0,0.5,384.878733135292,267.79775485949176,0.021640531309452482,0.07827461849559432
58,48,1,20,5,1.0,0.7,331.81891069859546,233.0882279487133,0.01890342145864882,0.07804558493874285
59,48,1,20,5,1.0,1.0,290.12953849047244,204.53912257972922,0.01667958671302592,0.06994750282981176
60,48,1,20,7,0.001,0.1,233.87163970715983,162.50225918081367,0.013602316113281072,0.1291407455097545
61,48,1,20,7,0.001,0.3,233.01807516170027,160.24474012551696,0.013545408359350001,0.11080477454445573
62,48,1,20,7,0.001,0.5,234.18804082409022,160.990770458423,0.013596937139879755,0.10951040007851337
63,48,1,20,7,0.001,0.7,234.63259194951735,161.25942050765855,0.013608195633654828,0.11219859123229976
64,48,1,20,7,0.001,1.0,234.92284787372367,161.48138015137772,0.013616884825805973,0.10454463958740229
65,48,1,20,7,0.01,0.1,290.121141693562,204.55061839103126,0.016676178631179882,0.11202495748346498
66,48,1,20,7,0.01,0.3,234.60250333412978,163.16295785445624,0.013639541367701636,0.10751544345508918
67,48,1,20,7,0.01,0.5,231.48894165485606,159.83516416993993,0.013482361755671983,0.11049693281000307
68,48,1,20,7,0.01,0.7,232.11349944621404,159.87420447351394,0.013505269794551817,0.10779781775041059
69,48,1,20,7,0.01,1.0,233.1786649461851,160.41394222956043,0.013547321824243164,0.11678392236882985
70,48,1,20,7,0.1,0.1,481.4950038692941,332.4261212320767,0.026741494844082083,0.11761234023354267
71,48,1,20,7,0.1,0.3,295.4188109552693,208.20361401927684,0.01696007880267542,0.11036435040560634
72,48,1,20,7,0.1,0.5,255.63705625913383,179.70642560580828,0.014779739400408736,0.10795326666398478
73,48,1,20,7,0.1,0.7,241.40658241099598,168.72321109580605,0.01399447402319151,0.10076451301574703
74,48,1,20,7,0.1,1.0,233.96090080356345,162.6861152625166,0.013610425302674145,0.11307976462624283
75,48,1,20,7,1.0,0.1,804.5535042623759,582.723192471988,0.04719494253556986,0.10543227195739742
76,48,1,20,7,1.0,0.3,494.3925862608931,341.36961313711424,0.02745557908778932,0.08646208589727224
77,48,1,20,7,1.0,0.5,385.2408073704633,268.08356435115957,0.02165634550150491,0.11076188087463375
78,48,1,20,7,1.0,0.7,332.0356251406775,233.29837854062046,0.018920515249199573,0.07871796868064182
79,48,1,20,7,1.0,1.0,290.2672709504731,204.77529999407525,0.01669123177696928,0.08471311222423204
80,48,1,50,1,0.001,0.1,233.9114763109643,162.54730645488692,0.013604147090951046,0.018511923876675645
81,48,1,50,1,0.001,0.3,232.99464316177026,160.22122798272133,0.013545962680776173,0.021271813999522757
82,48,1,50,1,0.001,0.5,234.2053033814793,161.00321291292883,0.013598307721386371,0.018843975934115284
83,48,1,50,1,0.001,0.7,234.65971379294854,161.27192994447648,0.013614260070953944,0.018383502960205036
84,48,1,50,1,0.001,1.0,234.87930227323685,161.40900049590851,0.013617979932461317,0.01572368361733169
85,48,1,50,1,0.01,0.1,290.1663294296645,204.5724546952105,0.016679845080085444,0.023503346876664555
86,48,1,50,1,0.01,0.3,234.60850654119642,163.17574660493887,0.013638419845578802,0.018557071685790974
87,48,1,50,1,0.01,0.5,231.4989889013026,159.89977897811988,0.0134821254557717,0.02300591902299356
88,48,1,50,1,0.01,0.7,232.14639048832132,159.9024887036217,0.013509143582306364,0.0186073780059814
89,48,1,50,1,0.01,1.0,233.16989428022214,160.4046027200825,0.013554382891664229,0.023129593242298418
90,48,1,50,1,0.1,0.1,481.48609379390786,332.43924294985396,0.026749054378772584,0.018710244785655583
91,48,1,50,1,0.1,0.3,295.55827941011927,208.2793871615487,0.016968810188129443,0.024045250632546124
92,48,1,50,1,0.1,0.5,255.59378913367675,179.58054451509682,0.0147734018940128,0.018941359086470117
93,48,1,50,1,0.1,0.7,241.393233987419,168.65017865055398,0.01399142897268141,0.021247690374200955
94,48,1,50,1,0.1,1.0,233.90133205285719,162.54368952039687,0.013602650794869019,0.020527037707242055
95,48,1,50,1,1.0,0.1,804.4102067880102,582.6290609445578,0.047198421520218845,0.018642533909190736
96,48,1,50,1,1.0,0.3,494.5428253756774,341.4632746650902,0.027455285681002906,0.02478517185557966
97,48,1,50,1,1.0,0.5,385.1814905625484,268.03883744133896,0.021649954805998135,0.01881774989041411
98,48,1,50,1,1.0,0.7,331.99467203547374,233.22631794553917,0.018919127679541455,0.0259472023357044
99,48,1,50,1,1.0,1.0,290.18408785403693,204.63562549667265,0.01668324966652547,0.018758361989801534
100,48,1,50,3,0.001,0.1,233.89579171617254,162.53292320114696,0.013603573501241965,0.0887062549591064
101,48,1,50,3,0.001,0.3,233.01095978239118,160.24199212989126,0.013546546492298235,0.09872007369995113
102,48,1,50,3,0.001,0.5,234.19673573843974,161.02060719713725,0.0136006015108813,0.08140459927645591
103,48,1,50,3,0.001,0.7,234.66793103263637,161.2847636584193,0.013614397490083198,0.07595012404701923
104,48,1,50,3,0.001,1.0,234.86377570947073,161.40931974965886,0.013616105572893165,0.07059283690019082
105,48,1,50,3,0.01,0.1,290.1451585799266,204.5641859373639,0.01667740984406109,0.0614516301588578
106,48,1,50,3,0.01,0.3,234.59610045102355,163.14639688415872,0.013639190510257864,0.08281358805569733
107,48,1,50,3,0.01,0.5,231.51153610597314,159.92246138282482,0.013484266112598146,0.07295898957685987
108,48,1,50,3,0.01,0.7,232.13135582871385,159.8999664830224,0.013507552109633829,0.0735435702584006
109,48,1,50,3,0.01,1.0,233.1596771381307,160.34542016475896,0.013550628861365582,0.07177422263405533
110,48,1,50,3,0.1,0.1,481.42799245852405,332.4047291496691,0.026746968750872065,0.06923814253373577
111,48,1,50,3,0.1,0.3,295.3597614098324,208.16019226875687,0.016958751399019627,0.07646952975880013
112,48,1,50,3,0.1,0.5,255.55968804172534,179.57953105186894,0.014773887982702117,0.07483163746920495
113,48,1,50,3,0.1,0.7,241.33845220919193,168.574328996412,0.013987689148519954,0.06854477795687586
114,48,1,50,3,0.1,1.0,233.95056090809314,162.6686369067251,0.013610371082976573,0.08249196139248928
115,48,1,50,3,1.0,0.1,804.2911327702874,582.5304995392781,0.04719038960160937,0.084862470626831
116,48,1,50,3,1.0,0.3,494.2548080695017,341.26126159077126,0.027458615780402148,0.06753110885620112
117,48,1,50,3,1.0,0.5,385.0272915251542,267.91245782111395,0.021647341033775466,0.05566590482538391
118,48,1,50,3,1.0,0.7,331.8558660324835,233.08938585192166,0.01890732799257998,0.05680732293562452
119,48,1,50,3,1.0,1.0,290.0698397531613,204.53720715287875,0.016673291042581074,0.08153343200683588
120,48,1,50,5,0.001,0.1,233.87809033372284,162.51926633540054,0.013602587651851662,0.1386304768649014
121,48,1,50,5,0.001,0.3,233.01201647885776,160.24249982658162,0.013547525017823053,0.13688507947054773
122,48,1,50,5,0.001,0.5,234.18387052535044,160.9757553839446,0.013597167232491447,0.13034007766030048
123,48,1,50,5,0.001,0.7,234.66504347846586,161.26897718619023,0.013613329021033571,0.12475791844454674
124,48,1,50,5,0.001,1.0,234.87154027583608,161.40248889406783,0.013616847194573673,0.13025600259954276
125,48,1,50,5,0.01,0.1,290.0992535405388,204.52511505633458,0.016673699008283437,0.14133683117953208
126,48,1,50,5,0.01,0.3,234.59634645001768,163.1577392738534,0.01363894448363348,0.13742462071505457
